CustomerId,Geography,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,CreditLevel
15647311,Spain,1,83807.86,1,0,1,112542.58,0,
15619304,France,8,159660.8,3,1,0,113931.57,1,
15574012,Spain,8,113755.78,2,1,0,149756.71,1,
15792365,France,4,142051.07,2,0,1,74940.5,0,
15568982,France,6,0.0,2,1,1,54724.03,0,
15700772,France,9,0.0,2,0,0,38433.35,0,
15656300,France,0,59697.17,2,1,1,53483.21,0,
15768193,Germany,5,146050.97,2,0,0,86424.57,0,
15760861,France,1,125211.92,1,1,1,113410.49,0,
15630053,France,5,127864.4,1,1,0,87107.57,0,
15623944,Spain,4,0.0,1,1,0,1643.11,1,
15702014,Spain,1,56084.69,2,0,0,178798.13,0,
15696061,Germany,1,101633.04,1,1,0,110431.51,0,
15641582,Germany,10,123180.01,2,1,1,196673.28,0,
15620344,France,6,0.0,1,1,0,33953.87,0,
15663706,France,2,0.0,1,1,0,136458.19,1,
15641732,France,3,0.0,2,0,0,26019.59,0,
15809248,France,10,0.0,2,1,0,109614.57,0,
15693683,Germany,8,97086.4,2,1,1,197276.13,0,
15743192,France,6,0.0,2,0,0,167162.43,0,
15665790,Germany,7,108055.1,2,1,0,27231.26,0,
15580203,Spain,6,120193.42,1,0,0,100130.95,0,
15610156,France,2,133463.1,1,0,1,93165.34,0,
15724944,France,7,0.0,2,1,1,180427.24,0,
15713483,Spain,2,0.0,1,1,0,159123.82,1,
15703264,France,9,120681.63,1,1,0,74836.34,0,
15811589,Spain,8,0.0,2,1,0,180800.42,0,
15692132,Spain,6,101060.25,1,0,1,84699.56,0,
15585388,Germany,9,125189.75,2,1,1,139874.43,0,
15625426,Germany,3,161608.81,1,1,0,8080.85,1,
15702741,France,8,93012.89,1,1,0,86957.42,0,
15600974,Spain,5,0.0,1,0,1,146145.93,1,
15624592,France,8,0.0,2,1,1,169915.02,0,
15785542,Germany,4,118287.01,2,0,0,60427.3,0,
15680920,France,7,49512.55,1,1,0,133007.34,0,
15733247,France,10,0.0,1,1,0,4861.72,1,
15794056,France,2,0.0,3,1,0,89048.46,1,
15813844,France,8,105961.68,2,0,1,74158.8,0,
15596175,Germany,6,117411.6,1,1,1,45071.09,1,
15685500,Germany,7,152400.51,2,1,0,79414.0,0,
15657566,Germany,8,103097.85,1,1,1,157577.29,0,
15753754,Spain,1,0.0,2,1,1,97932.68,0,
15787071,Spain,9,0.0,2,0,1,191599.67,0,
15758685,Spain,7,0.0,2,1,1,110899.3,0,
15652266,Germany,9,63227.0,1,0,1,137316.32,0,
15785819,France,3,0.0,2,1,1,112491.96,0,
15746726,Germany,8,78398.69,1,1,0,44937.01,0,
15626114,France,4,95741.75,1,1,0,46170.75,0,
15742668,Spain,6,108269.37,1,1,0,5597.94,0,
15636624,Spain,5,165272.13,1,1,0,14109.85,1,
15786170,France,4,118342.26,1,0,0,161574.19,0,
15576256,France,5,0.0,2,1,1,129892.93,0,
15611759,Spain,8,126776.3,2,1,1,132298.49,0,
15774696,Germany,1,106307.91,2,0,1,113428.77,0,
15684548,Spain,8,0.0,2,0,0,417.41,1,
15710825,Spain,7,110071.1,1,0,0,43921.36,0,
15613786,Spain,4,0.0,2,1,1,167036.94,0,
15683625,France,1,149762.08,1,1,0,20629.4,1,
15635367,France,2,93844.69,1,1,0,28415.36,0,
15797736,France,4,80262.6,1,1,1,20612.82,0,
15731744,France,2,0.0,2,0,1,130486.57,0,
15807709,Germany,9,180075.22,1,1,1,100127.71,0,
15733616,France,5,80613.93,1,1,1,142838.64,0,
15727688,Spain,4,0.0,2,1,1,54405.79,0,
15730059,Spain,9,77637.35,2,1,1,111346.22,0,
15677307,Germany,6,137326.65,1,1,0,186976.6,0,
15786063,France,2,0.0,2,1,1,112349.51,0,
15776780,France,1,0.0,1,1,0,70649.64,1,
15667896,France,8,151226.18,2,1,1,136129.49,0,
15709324,France,7,0.0,2,1,0,55003.79,0,
15689614,Spain,1,137715.66,1,1,1,37938.74,0,
15795564,Germany,5,121192.22,2,1,1,74890.58,0,
15753719,Germany,9,72392.41,1,1,0,77077.14,0,
15680998,France,5,0.0,1,1,1,117356.14,0,
15607170,France,5,0.0,2,1,1,78397.24,0,
15646161,Spain,8,0.0,2,1,1,183318.79,0,
15773456,Germany,3,145747.67,2,0,1,89566.74,0,
15805112,France,7,82259.29,1,1,0,8996.97,0,
15692926,Germany,8,121702.73,1,1,1,132210.49,0,
15667215,France,2,0.0,2,1,1,58803.28,0,
15788659,France,4,0.0,2,1,1,137537.22,0,
15763218,France,1,0.0,2,0,1,131300.68,0,
15645772,France,9,0.0,2,1,1,84174.81,0,
15715142,Germany,7,102703.62,1,0,1,147802.94,1,
15803457,France,5,0.0,2,1,0,95611.47,0,
15659098,France,7,95128.86,1,0,0,19799.26,0,
15723873,Spain,3,125167.02,1,0,0,98820.39,0,
15716835,France,8,156325.38,1,1,1,125381.02,0,
15790314,France,0,0.0,2,0,1,130567.02,0,
15634245,Germany,9,95523.16,1,1,0,73294.48,0,
15685997,Spain,5,166733.92,2,1,0,14279.44,0,
15637876,Germany,6,77253.5,1,0,0,35817.97,1,
15672056,Germany,2,140080.32,3,1,1,157908.19,1,
15640442,France,4,129722.57,1,0,0,41176.6,0,
15737051,France,8,0.0,2,1,0,192247.35,0,
15745196,France,8,0.0,2,0,0,84569.13,0,
15769504,Germany,1,131736.88,1,1,1,108543.21,0,
15567367,Germany,9,133636.16,1,0,1,103315.74,0,
15681554,Germany,7,120599.38,2,1,1,46163.44,0,
15716155,France,5,156021.31,1,0,0,122662.98,0,
15639788,France,10,0.0,2,1,0,10553.31,0,
15592222,France,7,80001.23,1,0,0,135180.11,0,
15782390,France,6,0.0,1,1,0,155155.25,0,
15566091,Spain,4,0.0,1,1,0,94739.2,0,
15745324,Spain,4,0.0,1,1,0,194273.2,1,
15783659,France,4,145981.87,1,1,1,131043.2,0,
15801488,France,3,0.0,2,1,1,134509.47,0,
15705620,France,5,122453.37,2,1,0,138882.98,0,
15642937,France,7,0.0,2,1,0,130590.35,0,
15782899,Spain,7,95357.49,1,0,0,102297.15,0,
15633897,Germany,1,50880.98,2,1,1,184023.54,0,
15573086,France,7,99824.45,1,1,1,36721.4,0,
15569050,France,6,0.0,1,1,0,130009.85,1,
15585961,Spain,3,0.0,2,0,1,199505.53,0,
15770424,Germany,7,95710.11,2,1,0,49063.42,0,
15705860,Germany,3,107949.45,1,1,0,52449.62,1,
15650933,Spain,8,155413.06,1,1,0,187921.3,0,
15692744,France,4,152169.12,2,0,0,38629.3,1,
15590476,France,7,0.0,2,1,0,151645.96,0,
15723250,France,8,0.0,2,1,1,101485.72,0,
15592583,France,1,115414.19,3,0,0,191734.67,1,
15593973,Spain,8,122528.18,1,1,0,196260.3,0,
15647301,Germany,3,143734.01,2,1,1,96404.38,0,
15569247,Spain,1,109679.72,1,0,1,753.37,0,
15651369,France,1,0.0,2,1,0,66232.23,0,
15795228,France,3,132623.6,1,1,1,58974.0,0,
15589257,France,3,103465.02,2,1,1,174627.06,0,
15678058,France,9,104584.16,1,1,0,176678.72,0,
15724334,France,5,0.0,1,1,0,151169.83,0,
15599268,Spain,5,0.0,2,1,0,10956.82,0,
15697625,France,2,163789.49,2,1,0,75832.53,0,
15619626,France,3,137492.35,2,0,1,170142.09,0,
15760774,France,1,146329.57,2,1,1,194867.27,0,
15615032,Spain,3,0.0,2,1,1,62825.03,0,
15701265,Germany,1,104356.94,2,0,1,54184.06,0,
15743532,Germany,5,147004.34,1,1,0,64381.33,1,
15726557,France,7,165679.92,1,0,0,32916.29,0,
15737748,Spain,3,151233.62,1,0,0,199336.63,0,
15683930,Germany,9,134096.53,2,1,0,53931.05,1,
15644833,France,2,0.0,1,1,0,149583.67,1,
15734634,Spain,5,100912.19,1,0,0,7631.27,0,
15796721,France,3,145018.49,2,1,1,126702.41,0,
15682563,Spain,5,126473.99,1,1,0,91972.49,0,
15777826,France,5,94443.77,1,1,1,165614.4,0,
15668445,France,2,0.0,2,1,1,86372.24,0,
15613141,France,3,135756.96,1,1,1,103706.41,0,
15746326,France,3,0.0,2,0,1,198926.36,0,
15719958,Germany,3,124548.99,2,1,1,120380.12,0,
15774738,France,3,107764.75,1,1,0,185667.72,0,
15714466,France,5,0.0,3,1,0,3440.47,1,
15704586,France,7,0.0,2,0,1,76209.56,0,
15684196,France,2,159441.27,1,1,0,100686.11,1,
15787835,Germany,4,125212.65,2,1,1,15795.88,1,
15730540,Spain,8,88656.37,2,1,0,116547.31,0,
15579062,France,9,0.0,2,0,0,30807.02,0,
15693904,Germany,4,84958.6,2,0,1,194343.72,0,
15685150,Germany,7,167658.33,2,1,1,111138.25,0,
15626485,France,8,78892.23,1,1,1,23703.52,0,
15608653,Spain,7,70731.07,1,1,1,20243.97,1,
15703399,France,5,101641.14,2,0,1,154460.68,0,
15761976,Spain,8,0.0,2,1,0,117916.63,0,
15791302,France,8,0.0,2,1,0,143598.7,0,
15798975,Germany,4,132403.56,1,0,0,36091.91,1,
15599956,France,10,0.0,2,0,0,13007.89,0,
15638149,France,6,103772.45,1,1,0,197111.99,0,
15701765,Spain,0,0.0,2,0,0,30114.32,0,
15751531,Spain,8,0.0,2,1,1,161954.43,0,
15769818,France,3,212778.2,1,0,1,69372.88,0,
15614818,Spain,9,168964.77,1,0,1,118982.51,0,
15723411,Spain,4,98266.3,1,1,1,46416.36,0,
15690678,France,4,129307.32,1,1,1,172930.28,0,
15618581,Spain,8,0.0,2,1,1,135112.09,0,
15568106,France,8,119278.01,2,0,1,19370.73,0,
15779481,France,4,158741.43,2,1,1,126192.54,0,
15651063,Germany,9,127480.58,2,1,0,179634.69,0,
15618314,France,8,114005.78,1,1,1,67998.45,0,
15719309,France,1,115961.58,2,0,1,29483.87,0,
15714080,Germany,2,97001.36,2,1,0,154486.01,0,
15665695,France,4,0.0,2,1,1,23631.55,0,
15801062,Spain,4,0.0,2,0,1,105433.53,0,
15662955,France,8,141223.68,2,1,0,90591.15,0,
15810347,Spain,9,0.0,2,0,1,157884.83,0,
15718944,France,6,0.0,2,1,0,193995.37,0,
15723053,Germany,8,170291.22,2,0,1,15658.99,0,
15661528,Spain,5,102562.23,1,1,0,92708.1,0,
15675501,France,5,153861.1,1,1,1,17699.48,0,
15575409,Germany,6,116891.72,1,1,0,107137.3,0,
15806447,Germany,0,106683.52,2,1,1,137916.49,0,
15791991,France,4,0.0,1,0,1,144113.42,0,
15675896,Germany,7,105722.69,1,1,1,90558.24,1,
15713843,Spain,2,0.0,2,0,1,27937.12,0,
15574879,Germany,2,121801.72,2,0,1,23146.62,0,
15675320,Spain,5,93499.82,2,0,0,123218.81,0,
15596414,Spain,8,107525.07,1,1,0,18510.41,0,
15672132,France,7,121453.63,1,0,0,46374.64,0,
15670702,France,2,168178.21,2,0,1,101273.23,0,
15645544,Germany,5,129753.69,1,1,0,582.53,0,
15689980,Spain,4,118520.26,1,0,0,131173.9,1,
15693381,Spain,1,135289.33,2,0,1,152956.33,0,
15757648,Germany,5,95698.79,1,0,1,182566.76,0,
15792649,Spain,9,0.0,2,0,0,99294.22,0,
15583718,Germany,6,142316.14,1,1,1,8018.49,0,
15619343,France,7,152759.0,2,1,0,133167.11,1,
15758813,Germany,0,109733.2,2,0,0,123602.11,1,
15681956,France,9,0.0,2,1,1,65257.57,0,
15805312,France,7,123859.6,1,0,1,113051.57,0,
15734999,Spain,2,85996.19,1,1,0,15887.68,0,
15641043,Spain,7,0.0,2,1,1,78436.36,0,
15716324,France,9,143672.9,1,1,1,115147.33,0,
15754999,France,8,0.0,1,1,1,124641.42,0,
15781034,Spain,5,0.0,2,0,1,54871.02,0,
15622017,Spain,10,0.0,1,1,1,98820.09,0,
15739858,France,7,0.0,1,1,1,142400.27,1,
15757931,France,3,0.0,2,1,0,173195.33,0,
15810457,Germany,9,150412.14,2,1,0,170764.08,0,
15780514,France,8,136678.52,1,1,0,54290.62,0,
15591386,France,5,0.0,2,1,0,51112.8,0,
15775803,Spain,1,0.0,2,0,1,193093.77,0,
15617648,France,5,95671.75,2,1,1,106564.88,0,
15567399,Germany,3,144164.29,1,1,1,158646.46,0,
15734311,France,3,0.0,2,1,1,76889.79,0,
15756668,France,3,98415.37,1,1,1,110520.48,0,
15752953,France,9,0.0,2,0,0,17622.82,0,
15666043,France,4,156297.58,2,1,1,166102.61,0,
15792222,France,1,106881.5,2,0,0,169386.81,0,
15730868,France,5,0.0,2,1,1,22750.17,0,
15711015,France,4,0.0,2,1,1,190911.02,0,
15805303,Germany,1,141136.62,1,1,0,189742.78,1,
15780254,France,6,0.0,1,0,0,183872.88,1,
15809143,Germany,9,133060.63,1,1,1,125167.92,0,
15714586,Spain,3,99836.47,1,0,1,22909.56,0,
15732740,Spain,9,178095.55,1,0,0,47247.56,0,
15664881,France,4,100054.77,1,1,0,109496.45,0,
15726354,France,6,123157.95,1,1,0,172531.23,0,
15704284,Germany,9,95295.39,1,1,0,28434.44,1,
15721426,Germany,10,126306.64,3,0,0,7861.68,1,
15750649,France,3,0.0,2,1,1,189016.14,0,
15637644,France,4,0.0,2,0,1,34335.55,0,
15689147,France,1,0.0,2,1,0,126554.96,0,
15710161,France,2,0.0,2,1,1,171706.66,0,
15791700,Germany,2,118079.47,4,1,1,143007.49,1,
15670753,Spain,2,127283.78,1,1,1,31302.35,0,
15762803,France,3,0.0,2,1,0,15360.91,0,
15812982,Spain,2,0.0,1,0,0,168460.12,0,
15808784,France,2,163569.61,2,1,1,154559.28,0,
15633112,Germany,3,118199.97,2,1,0,9452.88,1,
15604782,Germany,7,187257.94,1,0,1,190430.81,0,
15681402,Germany,1,66101.89,1,1,1,143981.27,0,
15594685,France,2,0.0,2,0,0,164482.92,0,
15579208,France,6,0.0,2,1,1,191870.28,0,
15763747,France,7,0.0,2,1,1,60830.24,0,
15783615,Germany,3,129370.91,4,1,1,47775.34,1,
15619889,France,4,0.0,1,1,0,195167.38,0,
15647266,Spain,10,135923.16,1,1,0,18732.84,0,
15680141,Spain,7,147936.42,1,1,1,106785.7,0,
15602034,France,2,126558.92,1,1,0,73334.43,0,
15614929,Germany,0,96213.82,2,1,0,147913.56,0,
15581440,Germany,6,110463.25,2,1,1,80552.11,1,
15735388,France,7,108664.85,2,1,0,190011.85,0,
15644896,Germany,3,108586.86,1,1,1,182355.21,0,
15751057,Germany,5,102500.34,1,0,0,106287.77,0,
15607827,Germany,4,133467.77,2,1,1,42976.64,0,
15728006,France,2,180516.9,1,1,0,180002.42,0,
15578825,France,0,139994.66,1,1,0,17744.72,0,
15592765,France,8,125470.81,1,1,1,174536.17,0,
15725818,Germany,4,107041.3,1,1,1,5635.63,0,
15679249,Germany,4,163146.46,1,1,0,169621.69,1,
15661219,France,10,0.0,2,1,0,103287.62,0,
15713378,France,10,0.0,2,0,0,53311.78,0,
15607993,France,2,79468.96,1,1,1,84606.03,0,
15598175,Germany,4,105082.07,2,1,0,132801.57,0,
15679770,France,3,131583.59,4,0,1,66238.23,1,
15732270,Spain,8,0.0,1,1,1,198446.91,1,
15596088,France,4,77065.9,2,0,1,145159.26,0,
15611905,Spain,5,174853.46,1,1,0,84238.63,0,
15663885,France,5,0.0,1,1,1,64839.23,0,
15704844,Spain,7,80927.56,1,0,1,64490.67,0,
15583049,Germany,7,160426.07,1,0,1,188533.11,0,
15788946,Spain,3,116805.82,1,0,0,4092.75,0,
15707144,Germany,6,82506.72,2,1,0,167705.07,0,
15735263,France,5,51522.75,1,0,1,192131.77,0,
15643658,Germany,2,94078.97,2,1,0,36980.54,0,
15682890,Germany,5,65095.41,2,1,1,140197.42,0,
15641994,Germany,1,103018.45,1,1,0,32462.39,1,
15732102,Germany,3,150905.03,2,1,0,16998.72,0,
15618765,Germany,0,99948.45,1,0,1,97338.62,0,
15728474,Germany,4,108235.91,1,1,1,143783.28,0,
15797010,France,2,0.0,2,1,0,15200.61,0,
15627352,Germany,7,110356.42,1,1,0,4969.13,1,
15708505,Germany,7,62974.64,2,0,1,39016.43,0,
15791131,Germany,2,143340.44,1,1,0,145796.49,0,
15644724,France,4,58662.92,2,0,1,73322.0,0,
15687738,France,8,0.0,2,1,0,136620.64,0,
15626787,Spain,8,185078.26,1,0,0,115337.74,1,
15573280,Germany,6,145295.31,2,1,1,27814.74,0,
15654495,Germany,6,120621.89,1,1,1,140803.7,0,
15747265,Germany,10,171283.91,1,1,1,84136.12,0,
15782468,Spain,3,109799.55,2,1,1,12457.76,1,
15663826,Spain,3,0.0,1,1,1,115227.02,0,
15723299,France,4,113709.28,1,1,1,153887.93,1,
15615991,France,7,99263.09,1,1,1,67607.9,0,
15813067,Germany,3,110219.14,1,1,0,43046.7,1,
15705890,France,7,142072.02,1,1,0,37013.29,0,
15707968,Spain,8,73211.12,2,1,0,89587.34,1,
15594084,France,9,0.0,2,1,0,74405.34,0,
15570943,Germany,2,133607.75,1,1,1,120586.32,0,
15774224,Germany,5,131563.88,2,1,0,170638.98,0,
15713144,Spain,8,0.0,1,1,0,61931.21,0,
15690188,France,7,0.0,1,1,1,58043.02,1,
15654901,France,10,141556.96,1,1,0,130189.53,0,
15583681,Spain,7,76665.71,2,1,1,163809.08,0,
15605000,France,9,140278.99,3,1,1,171457.06,1,
15679760,France,1,115764.32,2,0,0,102950.79,0,
15667265,France,4,121404.64,1,1,1,159618.17,0,
15811613,France,8,0.0,1,1,0,20066.38,0,
15578006,France,10,0.0,2,1,1,116537.96,0,
15668504,France,2,89800.14,1,1,1,105922.69,0,
15783029,France,7,106603.74,2,1,1,26387.71,0,
15699247,France,5,0.0,2,1,1,123977.86,1,
15598840,France,1,123082.08,1,1,0,134960.98,0,
15609653,Germany,6,118715.86,1,1,0,133591.11,1,
15662067,France,8,68155.59,1,1,0,94876.65,0,
15809347,Germany,9,160680.41,1,1,0,30886.35,0,
15766609,France,10,0.0,2,1,0,167778.62,0,
15707596,Germany,8,114888.74,2,1,1,66732.63,1,
15732987,Spain,3,88798.34,1,0,0,45610.63,0,
15663161,Germany,5,143139.87,1,0,0,47795.43,1,
15617877,France,0,0.0,2,1,1,81140.09,0,
15727467,France,3,0.0,2,1,0,141449.86,0,
15603942,Germany,3,81290.02,3,0,1,177747.03,1,
15695679,Spain,2,104349.45,1,0,0,79503.05,0,
